metric,arm,seed_index,value
urllc_violation_prob,A_hard_static,13,0.00038333333333333334
urllc_violation_prob,A_hard_static,14,9.166666666666667e-05
urllc_violation_prob,A_hard_static,15,2.5e-05
urllc_violation_prob,A_hard_static,16,8.333333333333334e-06
urllc_violation_prob,A_hard_static,17,8.333333333333334e-06
urllc_violation_prob,A_hard_static,18,1.6666666666666667e-05
urllc_violation_prob,A_hard_static,19,0.0
urllc_violation_prob,A_hard_static,20,0.0
urllc_violation_prob,A_hard_static,21,8.333333333333333e-05
urllc_violation_prob,A_hard_static,22,0.0
urllc_violation_prob,A_hard_static,23,1.6666666666666667e-05
urllc_violation_prob,A_hard_static,24,3.3333333333333335e-05
urllc_violation_prob,A_hard_static,25,0.0
urllc_violation_prob,A_hard_static,26,0.0
urllc_violation_prob,A_hard_static,27,0.0
urllc_violation_prob,A_hard_static,28,0.0
urllc_violation_prob,A_hard_static,29,1.6666666666666667e-05
urllc_violation_prob,B_soft_pool,0,0.0011833333333333333
urllc_violation_prob,B_soft_pool,1,0.003266666666666667
urllc_violation_prob,B_soft_pool,2,0.0006083333333333333
urllc_violation_prob,B_soft_pool,3,0.0010833333333333333
urllc_violation_prob,B_soft_pool,4,7.5e-05
urllc_violation_prob,B_soft_pool,5,0.0009833333333333332
urllc_violation_prob,B_soft_pool,6,0.0011833333333333333
urllc_violation_prob,B_soft_pool,7,0.0015
urllc_violation_prob,B_soft_pool,8,0.000875
urllc_violation_prob,B_soft_pool,9,0.0009833333333333332
urllc_violation_prob,B_soft_pool,10,0.0014583333333333334
urllc_violation_prob,B_soft_pool,11,0.0007
urllc_violation_prob,B_soft_pool,12,0.000325
urllc_violation_prob,B_soft_pool,13,0.03240833333333333
urllc_violation_prob,B_soft_pool,14,0.000525
urllc_violation_prob,B_soft_pool,15,0.0006416666666666667
urllc_violation_prob,B_soft_pool,16,0.00024166666666666667
urllc_violation_prob,B_soft_pool,17,0.00048333333333333334
urllc_violation_prob,B_soft_pool,18,0.0009916666666666667
urllc_violation_prob,B_soft_pool,19,0.0005166666666666667
urllc_violation_prob,B_soft_pool,20,0.0008583333333333333
urllc_violation_prob,B_soft_pool,21,0.004825
urllc_violation_prob,B_soft_pool,22,0.0014416666666666666
urllc_violation_prob,B_soft_pool,23,0.0021666666666666666
urllc_violation_prob,B_soft_pool,24,0.001075
urllc_violation_prob,B_soft_pool,25,0.0009
urllc_violation_prob,B_soft_pool,26,0.000625
urllc_violation_prob,B_soft_pool,27,0.00040833333333333336
urllc_violation_prob,B_soft_pool,28,0.00175
urllc_violation_prob,B_soft_pool,29,0.00135
urllc_violation_prob,C_no_medium,0,0.029275
urllc_violation_prob,C_no_medium,1,0.056058333333333335
urllc_violation_prob,C_no_medium,2,0.017433333333333332
urllc_violation_prob,C_no_medium,3,0.020516666666666666
urllc_violation_prob,C_no_medium,4,0.007358333333333333
urllc_violation_prob,C_no_medium,5,0.015783333333333333
urllc_violation_prob,C_no_medium,6,0.019091666666666667
urllc_violation_prob,C_no_medium,7,0.016183333333333334
urllc_violation_prob,C_no_medium,8,0.016216666666666667
urllc_violation_prob,C_no_medium,9,0.0148
urllc_violation_prob,C_no_medium,10,0.018075
urllc_violation_prob,C_no_medium,11,0.011466666666666667
urllc_violation_prob,C_no_medium,12,0.009825
urllc_violation_prob,C_no_medium,13,0.15070833333333333
urllc_violation_prob,C_no_medium,14,0.015408333333333333
urllc_violation_prob,C_no_medium,15,0.014816666666666667
urllc_violation_prob,C_no_medium,16,0.005216666666666666
urllc_violation_prob,C_no_medium,17,0.007683333333333334
urllc_violation_prob,C_no_medium,18,0.010516666666666667
urllc_violation_prob,C_no_medium,19,0.014083333333333333
urllc_violation_prob,C_no_medium,20,0.009008333333333333
urllc_violation_prob,C_no_medium,21,0.04314166666666667
urllc_violation_prob,C_no_medium,22,0.016233333333333332
urllc_violation_prob,C_no_medium,23,0.017425
urllc_violation_prob,C_no_medium,24,0.016475
urllc_violation_prob,C_no_medium,25,0.017383333333333334
urllc_violation_prob,C_no_medium,26,0.019333333333333334
urllc_violation_prob,C_no_medium,27,0.008
urllc_violation_prob,C_no_medium,28,0.0156
urllc_violation_prob,C_no_medium,29,0.017783333333333335
urllc_violation_prob,D_no_slow,0,4.1666666666666665e-05
urllc_violation_prob,D_no_slow,1,2.5e-05
urllc_violation_prob,D_no_slow,2,8.333333333333334e-06
urllc_violation_prob,D_no_slow,3,3.3333333333333335e-05
urllc_violation_prob,D_no_slow,4,0.0
urllc_violation_prob,D_no_slow,5,0.0
urllc_violation_prob,D_no_slow,6,0.0
urllc_violation_prob,D_no_slow,7,0.0
urllc_violation_prob,D_no_slow,8,8.333333333333334e-06
urllc_violation_prob,D_no_slow,9,0.0
urllc_violation_prob,D_no_slow,10,0.0
urllc_violation_prob,D_no_slow,11,9.166666666666667e-05
urllc_violation_prob,D_no_slow,12,0.0
urllc_violation_prob,D_no_slow,13,0.000525
urllc_violation_prob,D_no_slow,14,0.00010833333333333333
urllc_violation_prob,D_no_slow,15,4.1666666666666665e-05
urllc_violation_prob,D_no_slow,16,8.333333333333334e-06
urllc_violation_prob,D_no_slow,17,1.6666666666666667e-05
urllc_violation_prob,D_no_slow,18,0.0
urllc_violation_prob,D_no_slow,19,0.0
urllc_violation_prob,D_no_slow,20,0.0
urllc_violation_prob,D_no_slow,21,0.00020833333333333335
urllc_violation_prob,D_no_slow,22,8.333333333333334e-06
urllc_violation_prob,D_no_slow,23,2.5e-05
urllc_violation_prob,D_no_slow,24,3.3333333333333335e-05
urllc_violation_prob,D_no_slow,25,0.0
urllc_violation_prob,D_no_slow,26,0.0
urllc_violation_prob,D_no_slow,27,0.0
urllc_violation_prob,D_no_slow,28,0.0
urllc_violation_prob,D_no_slow,29,1.6666666666666667e-05
urllc_violation_prob,E_full_umro,0,0.00019166666666666667
urllc_violation_prob,E_full_umro,1,0.0007333333333333333
urllc_violation_prob,E_full_umro,2,8.333333333333334e-06
urllc_violation_prob,E_full_umro,3,3.3333333333333335e-05
urllc_violation_prob,E_full_umro,4,0.0
urllc_violation_prob,E_full_umro,5,0.00020833333333333335
urllc_violation_prob,E_full_umro,6,0.0003083333333333333
urllc_violation_prob,E_full_umro,7,0.0
urllc_violation_prob,E_full_umro,8,0.00010833333333333333
urllc_violation_prob,E_full_umro,9,0.0
urllc_violation_prob,E_full_umro,10,1.6666666666666667e-05
urllc_violation_prob,E_full_umro,11,0.00010833333333333333
urllc_violation_prob,E_full_umro,12,5.833333333333333e-05
urllc_violation_prob,E_full_umro,13,0.031341666666666664
urllc_violation_prob,E_full_umro,14,0.00015833333333333332
urllc_violation_prob,E_full_umro,15,4.1666666666666665e-05
urllc_violation_prob,E_full_umro,16,8.333333333333334e-06
urllc_violation_prob,E_full_umro,17,0.000125
urllc_violation_prob,E_full_umro,18,0.00025
urllc_violation_prob,E_full_umro,19,0.0
urllc_violation_prob,E_full_umro,20,1.6666666666666667e-05
